dest_ip,metadata_comment
104.91.244.0/22,AS16625 IPv4
23.46.229.0/24,AS20940 IPv4
2a02:26f7:b07c::/48,AS36183
2a02:26f0:3900::/48,AS20940
23.2.88.0/21,AS16625 IPv4
172.104.202.0/23,AS63949 IPv4
2a02:26f7:b288::/48,AS20940
104.121.144.0/22,AS20940
23.47.146.0/23,AS16625 IPv4
88.221.162.0/24,AS21342 IPv4
72.247.81.0/24,AS20940
2a02:26f7:b4c0::/48,AS36183
23.200.25.0/24,AS20940 IPv4
23.209.48.0/21,AS16625 IPv4
173.223.54.0/24,AS35994 IPv4
2600:1419:9c00::/48,AS20940 IPv6
23.212.176.0/22,AS16625 IPv4
92.123.133.0/24,AS20940
184.28.42.0/23,AS16625 IPv4
95.100.253.0/24,AS32787 IPv4
2a02:26f7:f882::/48,AS36183
172.225.162.0/24,AS36183 IPv4
23.217.142.0/23,AS16625 IPv4
2a02:26f7:ecc2::/48,AS36183
45.79.160.0/20,AS63949 IPv4
23.58.221.0/24,AS20940 IPv4
2a02:26f7:f744::/48,AS36183 IPv6
2.19.98.0/24,AS20940
2a02:26f7:f840::/48,AS36183
23.217.107.0/24,AS35994 IPv4
2a02:26f7:b252::/48,AS36183
2a02:26f7:bfc0::/48,AS36183 IPv6
23.45.64.0/24,AS24319 IPv4
172.226.16.0/24,AS36183 IPv4
2a02:26f7:cbc4::/48,AS36183
23.210.34.0/24,AS35994 IPv4
2.16.199.0/24,AS20940
2a02:26f7:e04c::/48,AS20940
23.50.129.0/24,AS20940 IPv4
2600:141c:2000::/48,AS20940 IPv6
2a02:26f7:b064::/48,AS36183 IPv6
2001:4878:2164::/48,AS12222 IPv6
2a02:26f7:e1c4::/48,AS36183 IPv6
2.16.36.0/24,AS12222
92.123.180.0/23,AS20940
172.226.78.0/24,AS36183 IPv4
2600:3c12:200::/40,AS63949 IPv6
2a02:26f7:d18c::/48,AS36183 IPv6
128.241.91.0/24,AS20940 IPv4
2600:1403:dc00::/48,AS20940 IPv6
23.73.214.0/24,AS35994 IPv4
184.24.168.0/21,AS16625 IPv4
92.123.32.0/22,AS16625
2.17.102.0/24,AS34164 IPv4
2a02:26f7:b250::/48,AS36183
23.197.100.0/22,AS16625 IPv4
23.46.32.0/20,AS16625 IPv4
192.46.232.0/21,AS63949 IPv4
95.100.110.0/24,AS20940 IPv4
88.221.86.0/24,AS31108 IPv4
23.197.49.0/24,AS20940 IPv4
