dest_ip,dest_nt_domain,dest_port
2a06:3040:18:210::f301,au-syd-wg-304.relays.mullvad.net,51820
91.90.123.2,be-bru-wg-101.relays.mullvad.net,51820
2001:ac8:27:88::a01f,be-bru-wg-101.relays.mullvad.net,51820
194.110.115.34,be-bru-wg-102.relays.mullvad.net,51820
2001:ac8:27:89::a02f,be-bru-wg-102.relays.mullvad.net,51820
194.110.115.2,be-bru-wg-103.relays.mullvad.net,51820
2001:ac8:27:92::a03f,be-bru-wg-103.relays.mullvad.net,51820
146.70.188.130,bg-sof-wg-001.relays.mullvad.net,51820
2001:ac8:30:56::f001,bg-sof-wg-001.relays.mullvad.net,51820
146.70.188.194,bg-sof-wg-002.relays.mullvad.net,51820
2001:ac8:30:57::f001,bg-sof-wg-002.relays.mullvad.net,51820
98.98.12.178,br-for-wg-001.relays.mullvad.net,51820
2604:980:e007:100::f001,br-for-wg-001.relays.mullvad.net,51820
98.98.12.182,br-for-wg-002.relays.mullvad.net,51820
2604:980:e007:100::f101,br-for-wg-002.relays.mullvad.net,51820
149.78.184.194,br-sao-wg-001.relays.mullvad.net,51820
2804:5364:7000:40::f001,br-sao-wg-001.relays.mullvad.net,51820
169.150.198.66,br-sao-wg-201.relays.mullvad.net,51820
2a02:6ea0:d00e:1::a01f,br-sao-wg-201.relays.mullvad.net,51820
169.150.198.79,br-sao-wg-202.relays.mullvad.net,51820
2a02:6ea0:d00e:2::a02f,br-sao-wg-202.relays.mullvad.net,51820
103.139.178.63,br-sao-wg-302.relays.mullvad.net,51820
2a06:3040:10:610::f101,br-sao-wg-302.relays.mullvad.net,51820
103.139.178.123,br-sao-wg-303.relays.mullvad.net,51820
2a06:3040:10:610::f201,br-sao-wg-303.relays.mullvad.net,51820
103.139.178.183,br-sao-wg-304.relays.mullvad.net,51820
2a06:3040:10:610::f301,br-sao-wg-304.relays.mullvad.net,51820
146.70.198.66,ca-mtr-wg-001.relays.mullvad.net,51820
2a0d:5600:9:c::f001,ca-mtr-wg-001.relays.mullvad.net,51820
146.70.198.130,ca-mtr-wg-002.relays.mullvad.net,51820
2a0d:5600:9:d::f001,ca-mtr-wg-002.relays.mullvad.net,51820
146.70.198.194,ca-mtr-wg-003.relays.mullvad.net,51820
