geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
3067953,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",643,,,,Europe/Prague,1
3068020,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",643,,Kritschen,,Europe/Prague,1
3068040,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,202,,,,Europe/Prague,1
3068066,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",644,"Bezirk Lundenburg",,,Europe/Prague,1
3068107,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,208,,,,Europe/Prague,1
3068114,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,202,,,,Europe/Prague,1
3068119,de,EU,Europa,CZ,Tschechien,42,"Aussiger Region",424,,,,Europe/Prague,1
3068127,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",321,,,,Europe/Prague,1
3068160,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",323,Pilsen,Pilsen,,Europe/Prague,1
3068162,de,EU,Europa,CZ,Tschechien,71,"Olmützer Region",713,,,,Europe/Prague,1
3068178,de,EU,Europa,CZ,Tschechien,71,"Olmützer Region",712,,,,Europe/Prague,1
3068184,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,203,,,,Europe/Prague,1
3068222,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",325,"Kreis Nord-Pilsen",,,Europe/Prague,1
3068245,de,EU,Europa,CZ,Tschechien,31,"Südböhmische Region",317,,,,Europe/Prague,1
3068268,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",722,,,,Europe/Prague,1
3068293,de,EU,Europa,CZ,Tschechien,31,"Südböhmische Region",314,,Písek,,Europe/Prague,1
3068330,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",804,,,,Europe/Prague,1
3068413,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,205,,,,Europe/Prague,1
3068426,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",325,"Kreis Nord-Pilsen",,,Europe/Prague,1
