as_number,rir,domain,cc,asname
213945,ripencc,meric.net.tr,TR,AS213945
213992,ripencc,whitelabel.sh,IL,PRIMOX-AS
214018,ripencc,intintell.co.uk,GB,IIC-AS
214059,ripencc,acehost.online,KW,AcehostOnline
214196,ripencc,privatenetwork.ltd,RU,Vladylsav-Naumets
214231,ripencc,msk.host,RU,Cloud_Solutions-AS
214295,ripencc,audit-data.info,MD,SKYNET
214318,ripencc,cloudsolution.host,HR,NETCODE
214351,ripencc,as214351.com,GB,FEMOIT
214472,ripencc,offshore.cx,LU,OFFSHORE
214497,ripencc,whitelabel.sh,IL,WHITELABEL
214746,ripencc,infiniroute.io,US,DNNET-NL
214799,ripencc,infiniroute.io,US,ATLASHOST-AS
214820,ripencc,infiniroute.io,US,SUMMITARC-AS
214860,ripencc,wensliai.com,HK,STELLAR-GLOW-SERVICES
214927,ripencc,psb.hosting,RU,PSB-AS
214940,ripencc,pfcloud.io,DE,KPRONET
214943,ripencc,railnet,US,RAILNET
215117,ripencc,hosterdaddy.com,IN,HOSTERDADDY
215127,ripencc,410-teapot,GB,TEAPOT
215176,ripencc,secureanalitics.com,GB,HOSTINGMEDIAVPNLTD
215310,ripencc,pfcloud.io,DE,USERCLOUD
215376,ripencc,sshvps.net,RU,mlcloud
215420,ripencc,sircrosar.net,GB,JAMIEFREE
215436,ripencc,infiniroute.io,US,WHITELABELNETWORKS
215460,ripencc,infiniroute.io,US,DANIEL
215462,ripencc,sircrosar.net,GB,BUGGZ-HOSTING
215476,ripencc,insidenetwork.info,GB,InsideNetwork
215479,ripencc,perfectonetworks.com,BR,PERFECTO-AS
215720,ripencc,pfcloud.io,DE,SampuranBanerjee
215766,ripencc,emanuelhosting.info,GB,EmanuelHosting
215789,ripencc,rlab.kiev.ua,UA,KARINAR
215826,ripencc,altawk.com,UA,Partner-Hosting-LTD
215930,ripencc,almaseabi.net,IR,COD
216240,ripencc,mortalsoft.online,RS,MortalSoft
216246,ripencc,aeza.net,RU,RU-AEZA-AS
266724,lacnic,donserver.cl,CL,MYRIAM_PILAR_ESCOBAR_VEGA_(DON_SERVER)
327837,afrinic,seyix.sc,SC,SEY-IX-MANAGEMENT
328095,afrinic,bluegate-exchange.co.za,ZA,BLUEGATE-EXCHANGE-AS
328958,afrinic,cybrscrb.com,SC,CL21-AS
329325,afrinic,maxko.org,HR,Maxko-for-Gaming-Development
398638,arin,jellydigital.net,US,JELLYDIGITAL
398741,arin,62yun.com,RU,AS-VERTEXLINK-01
398770,arin,greatcommunications.net,US,TC
399979,arin,493networking.cc,US,AS-493NETWORKING
400018,arin,seacom.cc,US,CLOUD
400171,arin,alphainfolab.com,IN,AS-AINFO
400506,arin,blackappleus.com,US,BAIAS
400992,arin,62yun.com,RU,ZHOUYISAT-COMMUNICATIONS
401109,arin,zhongguancun.asia,US,ZHONGGUANCUN-CO
401110,arin,sovy.cloud,NL,AS-SOVYCLOUD
401115,arin,ekabi.net,US,EKABI
401116,arin,nybula.com,US,NYBULA
401120,arin,cheapy.host,US,CHEAPY-HOST
401502,arin,baremetal.ae,AE,AS-FALCON
401616,arin,prv8net,PA,PNL
