dest_ip,dest_port
112.78.146.244,8080
112.78.168.122,8080
112.87.140.163,9401
112.87.140.163,9443
112.87.140.163,9480
112.93.118.61,3128
113.108.13.120,8083
113.11.121.33,2505
113.160.130.82,443
113.160.132.26,8080
113.160.208.169,19132
113.160.214.209,19132
113.160.234.147,57921
113.160.241.196,19132
113.160.37.152,53281
113.161.134.128,1080
113.161.59.136,8080
113.166.93.239,5678
113.176.118.150,1080
113.176.118.231,9812
113.176.92.71,3128
113.176.92.71,3129
113.192.12.30,8181
113.192.48.195,7777
113.204.79.230,9091
113.249.101.105,18255
113.249.101.123,18255
113.249.101.125,18255
113.249.101.194,18255
113.249.102.192,18255
113.249.103.136,18255
113.250.183.61,18255
113.250.183.64,18255
113.56.95.6,8111
114.102.44.158,8089
114.102.44.34,8089
114.102.46.120,8089
114.102.46.198,8089
114.102.47.147,8089
114.102.47.156,8089
114.102.47.189,8089
114.102.47.243,8089
114.106.170.68,8089
114.110.19.33,8080
114.111.151.41,80
114.111.19.228,3389
114.129.19.250,4145
114.130.175.18,8080
114.130.78.185,8080
114.130.84.94,8080
114.236.137.41,21000
114.4.233.34,8080
114.4.251.26,8080
114.46.181.9,8080
114.5.181.10,8080
114.69.225.6,83
114.8.131.181,8080
114.9.25.74,8080
114.94.148.37,18080
115.124.79.90,8080
115.124.79.91,8080
115.127.122.100,8080
115.127.190.42,6979
115.127.31.66,8080
115.127.53.114,1080
115.127.81.142,58080
115.127.95.82,8080
115.133.22.97,6666
115.136.121.54,9050
115.147.15.109,8080
115.231.181.40,8128
115.239.234.43,7302
115.247.115.38,8080
115.248.66.131,3129
115.29.170.58,8118
115.42.2.71,53281
115.74.153.148,1080
115.85.88.18,8080
115.96.208.124,8080
116.100.216.157,1080
116.100.222.144,1080
116.101.1.109,1083
116.104.6.242,1080
116.107.180.24,1080
116.107.182.138,1080
116.107.184.175,1080
116.107.186.72,1080
116.107.188.103,1080
116.130.233.22,3129
116.171.106.111,3000
116.171.106.15,3000
116.171.106.78,3000
116.196.150.180,17981
116.197.129.170,4145
116.197.129.49,8181
116.197.130.71,80
116.203.19.71,9099
116.203.252.129,8080
116.203.27.109,80
116.204.229.227,8070
116.206.243.50,80
116.254.116.99,8080
117.102.70.43,8080
117.102.75.238,8080
117.102.81.3,53281
117.102.81.5,53281
117.186.143.130,8118
117.236.124.166,3128
117.251.103.186,8080
117.4.115.169,8080
117.4.50.142,32650
117.50.175.76,1081
117.50.194.130,7890
117.54.11.85,3128
117.54.134.51,8080
117.54.156.245,8080
117.57.93.72,8089
117.69.232.56,8089
117.69.233.109,8089
117.69.233.24,8089
118.100.180.50,8080
118.103.233.235,8080
118.103.236.12,8080
118.122.91.59,8080
118.163.120.181,58837
118.163.13.200,8080
118.172.184.25,8180
118.174.53.136,8080
118.174.65.27,8080
118.175.30.26,8080
118.179.206.42,8080
118.67.219.153,8080
118.69.176.114,8080
118.69.182.184,8082
118.70.13.38,41857
118.70.211.121,60606
118.70.67.11,1080
118.97.164.19,8080
118.97.47.250,55443
118.97.75.82,8080
118.97.75.83,8080
118.98.166.56,8080
118.99.111.209,3127
118.99.96.173,8080
119.110.75.52,8181
119.148.51.30,22122
119.148.7.10,22122
119.15.89.87,5678
119.18.147.146,8080
119.18.147.179,1080
119.18.155.66,4153
119.188.131.55,17981
119.237.43.106,80
119.82.242.214,8080
119.82.243.66,8080
119.93.129.34,80
119.93.151.254,8081
119.93.153.10,8087
119.93.153.250,8082
12.218.209.130,13326
12.36.95.132,8080
12.50.107.217,80
12.50.107.219,80
12.50.107.220,80
12.50.107.221,80
12.50.107.222,80
12.88.29.66,9080
120.132.52.172,8888
120.232.115.170,17981
120.26.123.95,8010
120.28.135.76,8082
120.28.139.232,8080
