fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
homoglyph,xn--labanquepostai-8jb.fr,,,,
homoglyph,xn--labanquepostai-jlb.fr,,,,
homoglyph,xn--labanquepostai-okb.fr,,,,
homoglyph,xn--labanquepostal-3kb.fr,,,,
homoglyph,xn--labanquepostal-8jb.fr,,,,
homoglyph,xn--labanquepostal-jlb.fr,,,,
homoglyph,xn--labanquepostal-okb.fr,,,,
homoglyph,xn--labanquepostal-tjb.fr,,,,
homoglyph,xn--labanquepostie-1hb.fr,,,,
homoglyph,xn--labanquepostie-6gb.fr,,,,
homoglyph,xn--labanquepostie-hib.fr,,,,
homoglyph,xn--labanquepostie-mhb.fr,,,,
homoglyph,xn--labanquepostie-rgb.fr,,,,
homoglyph,xn--labanquepostie-wib.fr,,,,
homoglyph,xn--labanquepostl-0db0l.fr,,,,
homoglyph,xn--labanquepostl-0db0o.fr,,,,
homoglyph,xn--labanquepostl-0db5j.fr,,,,
homoglyph,xn--labanquepostl-0db5m.fr,,,,
homoglyph,xn--labanquepostl-0fb0c.fr,,,,
homoglyph,xn--labanquepostl-0fb0f.fr,,,,
homoglyph,xn--labanquepostl-0fb5d.fr,,,,
homoglyph,xn--labanquepostl-0fb5g.fr,,,,
homoglyph,xn--labanquepostl-7eb0f.fr,,,,
homoglyph,xn--labanquepostl-7eb0i.fr,,,,
homoglyph,xn--labanquepostl-7eb5g.fr,,,,
homoglyph,xn--labanquepostl-7eb5j.fr,,,,
homoglyph,xn--labanquepostl-feb0i.fr,,,,
homoglyph,xn--labanquepostl-feb0l.fr,,,,
homoglyph,xn--labanquepostl-feb5j.fr,,,,
homoglyph,xn--labanquepostl-feb5m.fr,,,,
homoglyph,xn--labanquepostl-mfb0f.fr,,,,
homoglyph,xn--labanquepostl-mfb0i.fr,,,,
homoglyph,xn--labanquepostl-mfb5d.fr,,,,
homoglyph,xn--labanquepostl-mfb5g.fr,,,,
homoglyph,xn--labanquepostl-teb0i.fr,,,,
homoglyph,xn--labanquepostl-teb0l.fr,,,,
homoglyph,xn--labanquepostl-teb5g.fr,,,,
homoglyph,xn--labanquepostl-teb5j.fr,,,,
homoglyph,xn--labanquepostlc-1hb.fr,,,,
homoglyph,xn--labanquepostlc-6gb.fr,,,,
homoglyph,xn--labanquepostlc-hib.fr,,,,
homoglyph,xn--labanquepostlc-mhb.fr,,,,
homoglyph,xn--labanquepostlc-rgb.fr,,,,
homoglyph,xn--labanquepostlc-wib.fr,,,,
homoglyph,xn--labanquepostle-1hb.fr,,,,
homoglyph,xn--labanquepostle-6gb.fr,,,,
homoglyph,xn--labanquepostle-hib.fr,,,,
homoglyph,xn--labanquepostle-mhb.fr,,,,
homoglyph,xn--labanquepostle-rgb.fr,,,,
homoglyph,xn--labanquepostle-wib.fr,,,,
homoglyph,xn--labanquepsta1e-3pb.fr,,,,
homoglyph,xn--labanquepsta1e-8ob.fr,,,,
homoglyph,xn--labanquepsta1e-eob.fr,,,,
homoglyph,xn--labanquepsta1e-opb.fr,,,,
homoglyph,xn--labanquepsta1e-tob.fr,,,,
homoglyph,xn--labanquepstaie-3pb.fr,,,,
homoglyph,xn--labanquepstaie-8ob.fr,,,,
homoglyph,xn--labanquepstaie-eob.fr,,,,
homoglyph,xn--labanquepstaie-opb.fr,,,,
homoglyph,xn--labanquepstaie-tob.fr,,,,
homoglyph,xn--labanquepstal-1hb4k.fr,,,,
homoglyph,xn--labanquepstal-1hb4n.fr,,,,
homoglyph,xn--labanquepstal-1hb9i.fr,,,,
homoglyph,xn--labanquepstal-1hb9l.fr,,,,
homoglyph,xn--labanquepstal-1hb9o.fr,,,,
