src_ip,service,scope,metadata_reference
34.126.128.0/18,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.126.192.0/20,Google Cloud,australia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.126.208.0/20,Google Cloud,asia-south2,https://www.gstatic.com/ipranges/cloud.json
34.127.0.0/17,Google Cloud,us-west1,https://www.gstatic.com/ipranges/cloud.json
34.127.156.0/22,Google Cloud,us-south1,https://www.gstatic.com/ipranges/cloud.json
34.127.160.0/20,Google Cloud,us-east5,https://www.gstatic.com/ipranges/cloud.json
34.127.177.0/24,Google Cloud,asia-northeast2,https://www.gstatic.com/ipranges/cloud.json
34.127.178.0/23,Google Cloud,southamerica-west1,https://www.gstatic.com/ipranges/cloud.json
34.127.180.0/24,Google Cloud,us-west3,https://www.gstatic.com/ipranges/cloud.json
34.127.184.0/23,Google Cloud,us-east7,https://www.gstatic.com/ipranges/cloud.json
34.127.186.0/23,Google Cloud,europe-west2,https://www.gstatic.com/ipranges/cloud.json
34.127.188.0/23,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.127.190.0/23,Google Cloud,asia-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.128.32.0/22,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.128.36.0/24,Google Cloud,australia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.128.37.0/24,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.128.42.0/23,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.128.44.0/23,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.128.46.0/23,Google Cloud,us-west8,https://www.gstatic.com/ipranges/cloud.json
34.128.48.0/24,Google Cloud,australia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.128.49.0/24,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.128.52.0/22,Google Cloud,europe-west2,https://www.gstatic.com/ipranges/cloud.json
34.128.58.0/23,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.128.60.0/23,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.128.62.0/23,Google Cloud,us-west8,https://www.gstatic.com/ipranges/cloud.json
34.128.64.0/18,Google Cloud,asia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.128.128.0/18,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.128.208.0/20,Google Cloud,europe-central2,https://www.gstatic.com/ipranges/cloud.json
34.128.224.0/20,Google Cloud,europe-west2,https://www.gstatic.com/ipranges/cloud.json
34.129.0.0/16,Google Cloud,australia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.130.0.0/16,Google Cloud,northamerica-northeast2,https://www.gstatic.com/ipranges/cloud.json
34.131.0.0/16,Google Cloud,asia-south2,https://www.gstatic.com/ipranges/cloud.json
34.132.0.0/14,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.136.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.137.0.0/16,Google Cloud,asia-east1,https://www.gstatic.com/ipranges/cloud.json
34.138.0.0/15,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.140.0.0/16,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.141.0.0/17,Google Cloud,europe-west3,https://www.gstatic.com/ipranges/cloud.json
34.141.128.0/17,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.142.0.0/17,Google Cloud,europe-west2,https://www.gstatic.com/ipranges/cloud.json
34.142.128.0/17,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.143.128.0/17,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.144.176.0/20,Google Cloud,us-east5,https://www.gstatic.com/ipranges/cloud.json
34.144.192.0/18,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.145.0.0/17,Google Cloud,us-west1,https://www.gstatic.com/ipranges/cloud.json
34.145.128.0/17,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
