permission_name,application_id,delegated_id,application_text,delegated_text,application_description,delegated_description,application_AdminConsentRequired,delegated_AdminConsentRequired,metadata_is_critical
ChannelMessage.Read.All,7b2449af-6ccd-4f4d-9f78-e550c193f0d1,767156cb-16ae-4d10-8f8b-41b657c8c8c8,Read all channel messages,Read user channel messages,Allows the app to read all channel messages in Microsoft Teams,"Allows an app to read a channel's messages in Microsoft Teams, on behalf of the signed-in user.",Yes,Yes,no
ChannelMessage.ReadWrite,-,5922d31f-46c8-4404-9eaf-2117e390a8a4,-,Read and write user channel messages,-,"Allows the app to read and write channel messages, on behalf of the signed-in user. This doesn't allow the app to edit the policyViolation of a channel message.",-,Yes,no
ChannelMessage.Send,-,ebf0f66e-9fb1-49e4-a278-222f76911cf4,-,Send channel messages,-,"Allows an app to send channel messages in Microsoft Teams, on behalf of the signed-in user.",-,No,no
ChannelMessage.UpdatePolicyViolation.All,4d02b0cc-d90b-441f-8d82-4fb55c34d6bb,-,Flag channel messages for violating policy,-,Allows the app to update Microsoft Teams channel messages by patching a set of Data Loss Prevention (DLP) policy violation properties to handle the output of DLP processing.,-,Yes,-,no
ChannelSettings.Read.All,c97b873f-f59f-49aa-8a0e-52b32d762124,233e0cf1-dd62-48bc-b65b-b38fe87fcf8e,"Read the names, descriptions, and settings of all channels","Read the names, descriptions, and settings of channels","Read all channel names, channel descriptions, and channel settings, without a signed-in user.","Read all channel names, channel descriptions, and channel settings, on behalf of the signed-in user.",Yes,Yes,no
ChannelSettings.ReadWrite.All,243cded2-bd16-4fd6-a953-ff8177894c3d,d649fb7c-72b4-4eec-b2b4-b15acf79e378,"Read and write the names, descriptions, and settings of all channels","Read and write the names, descriptions, and settings of channels","Read and write the names, descriptions, and settings of all channels, without a signed-in user.","Read and write the names, descriptions, and settings of all channels, on behalf of the signed-in user.",Yes,Yes,no
Chat.Create,d9c48af6-9ad9-47ad-82c3-63757137b9af,38826093-1258-4dea-98f0-00003be2b8d0,Create chats,Create chats,Allows the app to create chats without a signed-in user.,Allows the app to create chats on behalf of the signed-in user.,Yes,No,no
Chat.ManageDeletion.All,9c7abde0-eacd-4319-bf9e-35994b1a1717,bb64e6fc-6b6d-4752-aea0-dd922dbba588,Delete and recover deleted chats,Delete and recover deleted chats,"Allows the app to delete and recover deleted chats, without a signed-in user.","Allows the app to delete and recover deleted chats, on behalf of the signed-in user.",Yes,Yes,no
Chat.Read,-,f501c180-9344-439a-bca0-6cbf209fd270,-,Read user chat messages,-,"Allows an app to read 1 on 1 or group chats threads, on behalf of the signed-in user.",-,No,no
Chat.Read.All,6b7d71aa-70aa-4810-a8d9-5d9fb2830017,-,Read all chat messages,-,Allows the app to read all 1-to-1 or group chat messages in Microsoft Teams.,-,Yes,-,no
