tld,dest_nt_domain,metadata_link
catholic,*.catholic,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cba,*.cba,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cbn,*.cbn,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cbre,*.cbre,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cc,*.cc,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cd,*.cd,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
center,*.center,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
ceo,*.ceo,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cern,*.cern,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cf,*.cf,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cfa,*.cfa,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cfd,*.cfd,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cg,*.cg,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
ch,*.ch,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
chanel,*.chanel,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
channel,*.channel,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
charity,*.charity,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
chase,*.chase,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
chat,*.chat,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cheap,*.cheap,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
chintai,*.chintai,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
christmas,*.christmas,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
chrome,*.chrome,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
church,*.church,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
ci,*.ci,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cipriani,*.cipriani,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
circle,*.circle,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cisco,*.cisco,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
citadel,*.citadel,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
citi,*.citi,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
citic,*.citic,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
city,*.city,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
ck,*.ck,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cl,*.cl,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
claims,*.claims,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cleaning,*.cleaning,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
click,*.click,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
clinic,*.clinic,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
clinique,*.clinique,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
clothing,*.clothing,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cloud,*.cloud,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
club,*.club,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
clubmed,*.clubmed,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cm,*.cm,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cn,*.cn,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
co,*.co,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
coach,*.coach,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
codes,*.codes,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
coffee,*.coffee,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
college,*.college,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cologne,*.cologne,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
com,*.com,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
commbank,*.commbank,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
community,*.community,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
company,*.company,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
compare,*.compare,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
computer,*.computer,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
comsec,*.comsec,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
condos,*.condos,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
construction,*.construction,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
consulting,*.consulting,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
contact,*.contact,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
contractors,*.contractors,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cooking,*.cooking,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cool,*.cool,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
coop,*.coop,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
corsica,*.corsica,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
country,*.country,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
coupon,*.coupon,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
coupons,*.coupons,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
courses,*.courses,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
