emoji,emoji_code
*🗂*,U+1F5C2
*📅*,U+1F4C5
*📆*,U+1F4C6
*🗒*,U+1F5D2
*🗓*,U+1F5D3
*📇*,U+1F4C7
*📈*,U+1F4C8
*📉*,U+1F4C9
*📊*,U+1F4CA
*📋*,U+1F4CB
*📌*,U+1F4CC
*📍*,U+1F4CD
*📎*,U+1F4CE
*🖇*,U+1F587
*📏*,U+1F4CF
*📐*,U+1F4D0
*✂*,U+2702
*🗃*,U+1F5C3
*🗄*,U+1F5C4
*🗑*,U+1F5D1
*🔒*,U+1F512
*🔓*,U+1F513
*🔏*,U+1F50F
*🔐*,U+1F510
*🔑*,U+1F511
*🗝*,U+1F5DD
*🔨*,U+1F528
*⛏*,U+26CF
*⚒*,U+2692
*🛠*,U+1F6E0
*🗡*,U+1F5E1
*⚔*,U+2694
*🔫*,U+1F52B
*🏹*,U+1F3F9
*🛡*,U+1F6E1
*🔧*,U+1F527
*🔩*,U+1F529
*⚙*,U+2699
*🗜*,U+1F5DC
*⚗*,U+2697
*⚖*,U+2696
*🔗*,U+1F517
*⛓*,U+26D3
*💉*,U+1F489
*💊*,U+1F48A
*🚬*,U+1F6AC
*⚰*,U+26B0
*⚱*,U+26B1
*🗿*,U+1F5FF
*🛢*,U+1F6E2
*🔮*,U+1F52E
*🛒*,U+1F6D2
*🏧*,U+1F3E7
*🚮*,U+1F6AE
*🚰*,U+1F6B0
*♿*,U+267F
*🚹*,U+1F6B9
*🚺*,U+1F6BA
*🚻*,U+1F6BB
*🚼*,U+1F6BC
*🚾*,U+1F6BE
*🛂*,U+1F6C2
*🛃*,U+1F6C3
*🛄*,U+1F6C4
*🛅*,U+1F6C5
*⚠*,U+26A0
*🚸*,U+1F6B8
*⛔*,U+26D4
*🚫*,U+1F6AB
*🚳*,U+1F6B3
*🚭*,U+1F6AD
*🚯*,U+1F6AF
*🚱*,U+1F6B1
*🚷*,U+1F6B7
*📵*,U+1F4F5
*🔞*,U+1F51E
*☢*,U+2622
*☣*,U+2623
*⬆*,U+2B06
*↗*,U+2197
*➡*,U+27A1
*↘*,U+2198
*⬇*,U+2B07
*↙*,U+2199
*⬅*,U+2B05
*↖*,U+2196
*↕*,U+2195
*↔*,U+2194
*↩*,U+21A9
*↪*,U+21AA
*⤴*,U+2934
*⤵*,U+2935
*🔃*,U+1F503
*🔄*,U+1F504
*🔙*,U+1F519
*🔚*,U+1F51A
*🔛*,U+1F51B
*🔜*,U+1F51C
*🔝*,U+1F51D
*🛐*,U+1F6D0
*⚛*,U+269B
*🕉*,U+1F549
*✡*,U+2721
*☸*,U+2638
*☯*,U+262F
*✝*,U+271D
*☦*,U+2626
*☪*,U+262A
*☮*,U+262E
*🕎*,U+1F54E
*🔯*,U+1F52F
*♻*,U+267B
*📛*,U+1F4DB
*⚜*,U+269C
*🔰*,U+1F530
*🔱*,U+1F531
*⭕*,U+2B55
*✅*,U+2705
*☑*,U+2611
*✔*,U+2714
*✖*,U+2716
*❌*,U+274C
*❎*,U+274E
*➕*,U+2795
*➖*,U+2796
*➗*,U+2797
*➰*,U+27B0
*➿*,U+27BF
*〽*,U+303D
*✳*,U+2733
*✴*,U+2734
*❇*,U+2747
*‼*,U+203C
*⁉*,U+2049
*❓*,U+2753
*❔*,U+2754
*❕*,U+2755
*❗*,U+2757
*〰*,U+3030
*©*,U+00A9
*®*,U+00AE
*™*,U+2122
*♈*,U+2648
*♉*,U+2649
*♊*,U+264A
*♋*,U+264B
*♌*,U+264C
*♍*,U+264D
*♎*,U+264E
*♏*,U+264F
*♐*,U+2650
*♑*,U+2651
*♒*,U+2652
*♓*,U+2653
*⛎*,U+26CE
*🔀*,U+1F500
*🔁*,U+1F501
*🔂*,U+1F502
*▶*,U+25B6
*⏩*,U+23E9
*⏭*,U+23ED
*⏯*,U+23EF
*◀*,U+25C0
*⏪*,U+23EA
*⏮*,U+23EE
*🔼*,U+1F53C
*⏫*,U+23EB
*🔽*,U+1F53D
*⏬*,U+23EC
*⏸*,U+23F8
*⏹*,U+23F9
*⏺*,U+23FA
*⏏*,U+23CF
*🎦*,U+1F3A6
*🔅*,U+1F505
*🔆*,U+1F506
*📶*,U+1F4F6
*📳*,U+1F4F3
*📴*,U+1F4F4
*#️⃣*,U+0023 U+FE0F U+20E3
**️⃣*,U+002A U+FE0F U+20E3
*0️⃣*,U+0030 U+FE0F U+20E3
*1️⃣*,U+0031 U+FE0F U+20E3
*2️⃣*,U+0032 U+FE0F U+20E3
*3️⃣*,U+0033 U+FE0F U+20E3
*4️⃣*,U+0034 U+FE0F U+20E3
*5️⃣*,U+0035 U+FE0F U+20E3
*6️⃣*,U+0036 U+FE0F U+20E3
*7️⃣*,U+0037 U+FE0F U+20E3
*8️⃣*,U+0038 U+FE0F U+20E3
*9️⃣*,U+0039 U+FE0F U+20E3
*🔟*,U+1F51F
*💯*,U+1F4AF
*🔠*,U+1F520
*🔡*,U+1F521
*🔢*,U+1F522
